238,Skateboarding,Park,Men
239,Skateboarding,Park,Women
240,Skateboarding,Street,Men
241,Skateboarding,Street,Women
242,Sport Climbing,Combined,Men
243,Sport Climbing,Combined,Women
244,Surfing,Women,Women
245,Swimming,100m Backstroke,Men
246,Swimming,100m Backstroke,Women
247,Swimming,100m Breaststroke,Men
248,Swimming,100m Breaststroke,Women
249,Swimming,100m Butterfly,Men
250,Swimming,100m Butterfly,Women
251,Swimming,100m Freestyle,Men
252,Swimming,100m Freestyle,Women
253,Swimming,1500m Freestyle,Men
254,Swimming,1500m Freestyle,Women
255,Swimming,200m Backstroke,Men
256,Swimming,200m Backstroke,Women
257,Swimming,200m Breaststroke,Men
258,Swimming,200m Breaststroke,Women
259,Swimming,200m Butterfly,Men
260,Swimming,200m Butterfly,Women
261,Swimming,200m Freestyle,Men
262,Swimming,200m Freestyle,Women
263,Swimming,200m Individual Medley,Men
264,Swimming,200m Individual Medley,Women
271,Swimming,400m Freestyle,Men
272,Swimming,400m Freestyle,Women
273,Swimming,400m Individual Medley,Men
274,Swimming,400m Individual Medley,Women
275,Swimming,50m Freestyle,Men
276,Swimming,50m Freestyle,Women
277,Swimming,800m Freestyle,Men
278,Swimming,800m Freestyle,Women
280,Table Tennis,Singles,Men
281,Table Tennis,Singles,Women
284,Taekwondo,(+67kg),Women
285,Taekwondo,(+80kg),Men
286,Taekwondo,(-49kg),Women
287,Taekwondo,(-57kg),Women
288,Taekwondo,(-58kg),Men
289,Taekwondo,(-67kg),Women
290,Taekwondo,(-68kg),Men
291,Taekwondo,(-80kg),Men
295,Tennis,Singles,Men
296,Tennis,Singles,Women
297,Trampoline Gymnastics,Men,Men
298,Trampoline Gymnastics,Women,Women
299,Triathlon,Men,Men
301,Triathlon,Women,Women
306,Weightlifting,(+109kg),Men
307,Weightlifting,(+87kg),Women
308,Weightlifting,109kg,Men
309,Weightlifting,49kg,Women
310,Weightlifting,55kg,Women
311,Weightlifting,59kg,Women
312,Weightlifting,61kg,Men
313,Weightlifting,64kg,Women
314,Weightlifting,67kg,Men
315,Weightlifting,73kg,Men
316,Weightlifting,76kg,Women
317,Weightlifting,81kg,Men
318,Weightlifting,96kg,Men
319,Wrestling,Freestyle 125kg,Men
320,Wrestling,Freestyle 50kg,Women
321,Wrestling,Freestyle 53kg,Women
322,Wrestling,Freestyle 57kg,Men
323,Wrestling,Freestyle 57kg,Women
324,Wrestling,Freestyle 62kg,Women
325,Wrestling,Freestyle 65kg,Men
326,Wrestling,Freestyle 68kg,Women
327,Wrestling,Freestyle 74kg,Men
328,Wrestling,Freestyle 76kg,Women
329,Wrestling,Freestyle 86kg,Men
330,Wrestling,Freestyle 97kg,Men
331,Wrestling,Greco-Roman 130kg,Men
332,Wrestling,Greco-Roman 60kg,Men
333,Wrestling,Greco-Roman 67kg,Men
334,Wrestling,Greco-Roman 77kg,Men
335,Wrestling,Greco-Roman 87kg,Men
336,Wrestling,Greco-Roman 97kg,Men
