1,3590
2,3561
3,3616
4,3590
5,4989
6,4982
7,4855
8,4781
9,4781
10,4781
11,4220
12,644
13,4476
14,4694
15,4181
16,4875
17,4875
18,4875
19,4826
20,4573
21,561
22,560
23,533
24,532
25,536
26,534
27,537
28,535
29,567
30,567
31,670
32,714
33,705
34,698
35,696
36,529
37,528
38,627
39,626
40,627
41,626
42,622
43,622
44,622
45,578
46,622
47,634
48,4118
49,4111
50,4100
51,4154
52,4139
53,4171
54,4161
55,5774
56,5773
57,5774
58,5773
59,5776
60,5775
61,5737
62,5738
63,5740
64,5739
65,5810
66,5688
67,5680
68,5687
69,5679
70,5596
71,5696
72,5692
73,5691
74,5692
75,5691
76,5620
77,5625
78,5626
79,5619
80,5732
81,306
82,138
83,139
84,76
85,343
86,353
87,329
88,192
89,182
90,302
91,286
92,139
93,162
94,1
95,2
96,3
97,4
98,237
99,254
100,162
101,56
102,237
103,289
104,38
105,69
106,199
107,209
108,7
109,7
110,2358
111,2379
112,2379
113,5085
114,5085
115,5085
116,5070
117,5085
118,5116
119,5034
120,5070
121,5106
122,5085
123,5118
124,5085
125,5128
126,5097
127,5127
128,5122
129,5097
130,5122
131,5052
132,5051
133,5052
134,5044
135,5044
136,5020
137,5041
138,5039
139,5041
140,5016
141,5020
142,5020
143,5043
144,5017
145,5038
146,5041
147,5038
148,5041
149,5052
150,5155
151,5134
152,5157
153,5043
154,5041
155,5041
156,5041
157,1881
158,789
159,789
160,1935
161,1929
162,1881
163,1866
164,1888
165,1895
166,1867
167,1881
168,1883
169,1866
170,1864
171,1896
172,1895
173,1867
174,1866
175,1864
176,1916
177,1491
178,730
179,784
180,1918
181,1491
182,730
183,1919
184,784
185,1491
186,730
187,784
188,1899
189,1915
190,3766
191,3766
192,3766
193,3766
194,3766
195,3766
196,3766
197,3766
198,3864
199,3856
200,3864
201,3864
202,3856
203,3700
204,3700
205,3721
206,3725
207,3721
208,3808
209,3808
210,3808
211,3808
212,3808
213,3738
214,3737
215,3737
216,3737
217,3737
218,3835
219,3835
220,3748
221,3748
222,3748
223,3748
224,3748
225,3822
226,3819
227,3819
228,3819
229,3819
230,3819
231,3819
232,3819
233,3703
234,3703
235,3706
236,3706
237,3701
238,3703
239,3703
240,3706
241,3706
242,3787
243,3787
244,3787
