159,Tokyo 2020,,0,0,0
160,Tokyo 2020,,0,0,0
161,Tokyo 2020,1,0,0,0
162,Tokyo 2020,,0,0,0
163,Tokyo 2020,,0,0,0
164,Tokyo 2020,,0,0,0
165,Tokyo 2020,,0,0,0
166,Tokyo 2020,,0,0,0
167,Tokyo 2020,,0,0,0
168,Tokyo 2020,,0,0,0
169,Tokyo 2020,,0,0,0
170,Rio 2016,2,0,0,0
171,Tokyo 2020,,0,0,0
172,Tokyo 2020,,0,0,0
173,Tokyo 2020,,0,0,0
174,Rio 2016,2,0,0,0
175,Tokyo 2020,,0,0,0
176,Tokyo 2020,,0,0,0
177,Rio 2016,3,0,0,0
178,Tokyo 2020,,0,0,0
179,Tokyo 2020,,0,0,0
180,Sydney 2000,5,0,0,0
181,Beijing 2008,3,1,0,0
182,London 2012,2,0,0,0
183,Tokyo 2020,,0,0,0
184,Tokyo 2020,,0,0,0
185,Rio 2016,2,0,0,0
186,Rio 2016,2,0,0,0
187,Rio 2016,2,0,0,0
188,London 2012,2,0,0,0
189,Tokyo 2020,,0,0,0
190,Tokyo 2020,,0,0,0
191,London 2012,2,0,0,0
192,Atlanta 1996,6,1,0,0
193,Tokyo 2020,,0,0,0
194,Tokyo 2020,,0,0,0
195,Rio 2016,2,0,0,0
196,Tokyo 2020,,0,0,0
197,Tokyo 2020,,0,0,0
198,Tokyo 2020,,0,0,0
199,Tokyo 2020,,0,0,0
200,Tokyo 2020,,0,0,0
201,Rio 2016,2,0,0,0
202,Tokyo 2020,,0,0,0
203,Tokyo 2020,,0,0,0
204,Tokyo 2020,,0,0,0
205,Tokyo 2020,,0,0,0
206,Tokyo 2020,,0,0,0
207,Tokyo 2020,,0,0,0
208,Rio 2016,2,0,0,0
209,Rio 2016,2,0,0,0
210,Tokyo 2020,,0,0,0
211,Tokyo 2020,,0,0,0
212,Tokyo 2020,,0,0,0
213,Tokyo 2020,,0,0,0
214,Beijing 2008,3,0,0,0
215,Tokyo 2020,,0,0,0
216,Rio 2016,2,0,0,0
217,Rio 2016,2,0,0,0
218,Athens 2004,5,1,1,0
219,Rio 2016,2,1,0,0
220,Tokyo 2020,,0,0,0
221,Beijing 2008,4,0,0,0
222,Beijing 2008,4,0,0,1
223,London 2012,3,0,0,0
224,Tokyo 2020,,0,0,0
225,Tokyo 2020,,0,0,0
226,Tokyo 2020,,0,0,0
227,Tokyo 2020,,0,0,0
228,Tokyo 2020,,0,0,0
229,Tokyo 2020,,0,0,0
230,London 2012,3,0,0,0
231,Tokyo 2020,,0,0,0
232,Rio 2016,2,0,1,0
233,Beijing 2008,4,1,0,0
234,Tokyo 2020,,0,0,0
235,Tokyo 2020,,0,0,0
236,London 2012,2,0,0,0
237,Rio 2016,1,0,0,0
238,Tokyo 2020,,0,0,0
239,Tokyo 2020,,0,0,0
240,Tokyo 2020,,0,0,0
241,Rio 2016,2,0,0,0
242,Tokyo 2020,,0,0,0
243,Rio 2016,2,0,1,0
244,Rio 2016,2,0,0,0
245,Tokyo 2020,2,0,0,0
246,Tokyo 2020,,0,0,0
247,Tokyo 2020,,0,0,0
248,London 2012,2,0,0,0
249,Tokyo 2020,,0,0,0
250,Tokyo 2020,,0,0,0
251,Athens 2004,5,1,0,2
252,Tokyo 2020,,0,0,0
253,London 2012,3,0,0,0
254,Tokyo 2020,,0,0,0
255,Rio 2016,2,0,0,0
256,Tokyo 2020,,0,0,0
257,Tokyo 2020,,0,0,0
258,Rio 2016,2,0,0,0
259,London 2012,3,0,1,0
260,Rio 2016,3,1,0,1
261,Tokyo 2020,,0,0,0
262,London 2012,3,0,0,1
263,London 2012,2,0,0,0
264,Tokyo 2020,,0,0,0
265,Tokyo 2020,1,0,0,0
266,Tokyo 2020,,0,0,0
267,Tokyo 2020,,0,0,0
268,Tokyo 2020,,0,0,0
269,Tokyo 2020,,0,0,0
270,Tokyo 2020,,0,0,0
271,Tokyo 2020,,0,0,0
272,Atlanta 1996,7,0,1,0
273,Rio 2016,2,0,0,0
274,Tokyo 2020,,0,0,0
275,Seoul 1988,9,1,1,1
276,Tokyo 2020,1,0,0,0
277,Tokyo 2020,,0,0,0
278,Rio 2016,2,0,0,0
279,Tokyo 2020,,0,0,0
280,London 2012,3,0,0,0
281,Rio 2016,2,0,0,0
282,Sydney 2000,4,0,0,0
283,Rio 2016,2,0,0,0
284,Tokyo 2020,,0,0,0
285,Tokyo 2020,,0,0,0
